sndr,X1,X2
1.00E+04,1.44E+02,1.64E+02
1.00E+05,1.24E+02,1.44E+02
1.00E+06,1.04E+02,124.0408071
1.00E+07,8.40E+01,104.0408071
1.00E+08,6.40E+01,84.04080713
1.00E+09,4.40E+01,64.04080713
1.00E+10,2.40E+01,44.04080713
1.00E+11,4.04E+00,24.04080713
